(,p,835;
(,q,27;
(,r,513;
(,s,2031;
(,t,723;
(,u,505;
(,v,536;
(,w,495;
(,x,19;
(,y,19;
(,z,518;
(,~,4;
(,‚,5;
(,„,261;
(,…,5;
(,†,128;
(,‘,1;
(,’,2;
(,“,4;
(,–,3;
(,§,34;
(,«,4;
(,µ,1;
(,»,3;
(,Ä,6;
(,É,5;
(,Î,2;
(,Ö,65;
(,Ü,31;
(,ä,9;
(,é,2;
(,ö,7;
(,ü,24;
), ,11609;
),!,1;
),",11;
),#,1;
),',2;
),(,13;
),),78;
),,,4600;
),-,31;
),.,4263;
),/,7;
),0,5;
),1,1086;
),2,820;
),3,17;
),4,8;
),5,10;
),6,6;
),7,3;
),8,2;
),9,4;
),:,1089;
),;,200;
),<,3;
),=,1102;
),?,1;
),[,2;
),],4;
),a,266;
),b,217;
),c,155;
),d,398;
),e,218;
),f,198;
),g,185;
),h,193;
),i,113;
),j,151;
),k,123;
),l,147;
),m,207;
),n,133;
),o,80;
),p,213;
),q,3;
),r,144;
),s,334;
),t,195;
),u,56;
),v,111;
),w,159;
),x,8;
),y,12;
),z,26;
),},2;
),‚,4;
),„,19;
),’,2;
),“,28;
),”,1;
),–,1;
),Á,1;
),Ä,1;
),Å,1;
),É,2;
),Ö,6;
),Ü,11;
),ö,1;
*, ,2472;
*,",1;
*,),5;
*,*,9;
*,,,3;
*,-,1;
*,.,2;
*,/,1;
*,1,4;
*,6,1;
*,a,2;
*,c,3;
*,d,5;
*,f,1;
*,h,2;
*,i,2;
*,k,2;
*,s,3;
+, ,80;
+,),6;
+,+,14;
+,,,8;
+,-,6;
+,.,2;
+,0,1;
+,1,13;
+,2,11;
+,3,3;
+,4,8;
+,5,5;
+,6,2;
+,8,3;
+,9,1;
+,?,1;
+,b,1;
+,c,1;
+,d,3;
+,e,4;
+,f,1;
+,j,3;
+,k,1;
+,l,1;
+,m,1;
+,p,1;
+,r,1;
+,s,7;
+,t,2;
+,v,1;
+,y,4;
+,z,4;
+,{,1;
+,“,1;
,, ,97030;
,,",2;
,,(,1;
,,),3;
,,,,1;
,,-,5;
,,.,8;
,,0,243;
,,1,306;
,,2,297;
,,3,276;
,,4,263;
,,5,492;
,,6,285;
,,7,276;
,,8,261;
,,9,228;
,,:,1;
,,=,5;
,,[,1;
,,],1;
,,a,17;
,,b,30;
,,c,3;
,,d,46;
,,e,21;
,,f,10;
,,g,25;
,,h,11;
,,i,9;
,,j,4;
,,k,13;
,,l,16;
,,m,15;
,,n,13;
,,o,9;
,,p,2;
,,r,12;
,,s,25;
,,t,10;
,,u,9;
,,v,17;
,,w,18;
,,x,1;
,,z,6;
,,„,1;
,,…,1;
,,’,1;
,,“,7;
,,–,1;
,,Ö,1;
-, ,4954;
-,",1;
-,$,11;
-,%,3;
-,&,7;
-,',1;
-,(,13;
-,),62;
-,,,307;
-,-,15;
-,.,9;
-,/,48;
-,0,1303;
-,1,1464;
-,2,941;
-,3,1431;
-,4,964;
-,5,837;
-,6,499;
-,7,800;
-,8,1210;
-,9,867;
-,:,1;
-,;,2;
-,>,3;
-,?,1;
-,[,1;
-,a,2280;
-,b,1984;
-,c,898;
-,d,1496;
-,e,923;
-,f,1255;
-,g,1290;
-,h,1205;
-,i,534;
-,j,824;
-,k,1662;
-,l,1296;
-,m,2013;
-,n,648;
-,o,584;
-,p,1772;
-,q,78;
-,r,1646;
-,s,3423;
-,t,1177;
-,u,506;
-,v,1115;
-,w,1455;
-,x,162;
-,y,27;
-,z,404;
-,‚,1;
-,„,1;
-,’,8;
-,“,7;
-,–,1;
-,µ,1;
-,Ä,18;
-,É,13;
-,Î,3;
-,Ó,1;
-,Ö,13;
-,Ü,17;
-,à,6;
-,ä,5;
-,ö,26;
-,ø,1;
., ,96548;
.,!,2;
.,",44;
.,%,1;
.,',3;
.,(,45;
.,),1407;
.,*,4;
.,,,707;
.,-,235;
.,.,1094;
.,/,79;
.,0,1023;
.,1,1191;
.,2,539;
.,3,154;
.,4,132;
.,5,156;
.,6,137;
.,7,103;
.,8,89;
.,9,86;
.,:,365;
.,;,26;
.,=,13670;
.,?,3;
.,[,12;
.,],62;
.,a,2034;
.,b,1060;
.,c,756;
.,d,4523;
.,e,1118;
.,f,483;
.,g,428;
.,h,587;
.,i,1791;
.,j,305;
.,k,375;
.,l,312;
.,m,843;
.,n,1026;
.,o,345;
.,p,436;
.,q,22;
.,r,364;
.,s,1278;
.,t,351;
.,u,265;
.,v,678;
.,w,578;
.,x,12;
.,y,22;
.,z,458;
.,€,4;
.,‚,2;
.,„,22;
.,…,1;
.,‘,3;
.,“,483;
.,”,5;
.,–,29;
.,«,3;
.,°,1;
.,²,1;
.,»,2;
.,Á,1;
.,Ä,7;
.,É,3;
.,Ö,9;
.,Ü,53;
.,ä,1;
.,ö,12;
.,ü,1;
/, ,661;
/,',3;
/,(,7;
/,),1;
/,+,1;
/,-,14;
/,.,1;
/,/,146;
/,0,188;
/,1,655;
/,2,298;
/,3,102;
/,4,89;
/,5,82;
/,6,99;
/,7,72;
/,8,85;
/,9,114;
/,=,10;
/,@,2;
/,a,101;
/,b,109;
/,c,52;
/,d,124;
/,e,74;
/,f,48;
/,g,84;
/,h,155;
/,i,100;
/,j,35;
/,k,78;
/,l,109;
/,m,138;
/,n,65;
/,o,81;
/,p,94;
/,q,5;
/,r,54;
/,s,200;
/,t,54;
/,u,30;
/,v,48;
/,w,321;
/,x,5;
/,y,2;
/,z,23;
/,~,7;
/,„,4;
/,†,1;
/,«,2;
/,Ä,1;
/,Ö,2;
/,Ü,1;
/,ö,2;
0, ,10465;
0,",8;
0,%,4;
0,',14;
0,(,2;
0,),871;
0,,,1278;
0,-,1386;
0,.,2689;
0,/,250;
0,0,15860;
0,1,9262;
0,2,1708;
0,3,1619;
0,4,1625;
0,5,1716;
0,6,1783;
0,7,1698;
0,8,1744;
0,9,1710;
0,:,562;
0,;,48;
0,=,67;
0,?,1;
0,],10;
0,_,1;
0,a,30;
0,b,32;
0,c,16;
0,d,40;
0,e,1191;
0,f,37;
0,g,30;
0,h,30;
0,i,7;
0,j,14;
0,k,26;
0,l,27;
0,m,33;
0,n,16;
0,o,9;
0,p,18;
0,q,2;
0,r,25;
0,s,40;
0,t,33;
0,u,17;
0,v,21;
0,w,17;
0,x,17;
0,z,9;
0,},1;
0,€,4;
0,‚,2;
0,„,1;
0,…,1;
0,‘,1;
0,’,1;
0,“,13;
0,–,499;
0,°,25;
0,²,2;
0,Ö,1;
0,×,1;
0,Ü,2;
1, ,5444;
1,",8;
1,%,7;
1,&,3;
1,',12;
1,),826;
1,+,5;
1,,,1457;
1,-,1019;
1,.,3458;
1,/,197;
1,0,4294;
1,1,3191;
1,2,3472;
1,3,3281;
1,4,3388;
1,5,4127;
1,6,3584;
1,7,4307;
1,8,9072;
1,9,35560;
1,:,769;
1,;,49;
1,=,78;
1,?,1;
1,@,2;
1,[,1;
1,],35;
1,_,1;
1,a,42;
1,b,31;
1,c,22;
1,d,57;
1,e,25;
1,f,20;
1,g,47;
1,h,14;
1,i,7;
1,j,10;
1,k,14;
1,l,7;
1,m,25;
1,n,6;
1,o,4;
1,p,14;
1,q,2;
1,r,29;
1,s,43;
1,t,22;
1,u,6;
1,v,5;
1,w,9;
1,x,27;
1,z,2;
1,},1;
1,‚,2;
1,„,3;
1,‘,2;
1,’,3;
1,“,11;
1,–,409;
1,ª,1;
1,°,5;
1,¼,1;
1,½,5;
1,×,6;
1,Ü,2;
2, ,5771;
2,",6;
2,#,1;
2,',4;
2,(,3;
2,),819;
2,*,1;
2,+,7;
2,,,1389;
2,-,904;
2,.,2467;
2,/,212;
2,0,19621;
2,1,1384;
2,2,1347;
2,3,1328;
2,4,1401;
2,5,1671;
2,6,1219;
2,7,1179;
2,8,1333;
2,9,1237;
2,:,752;
2,;,58;
2,=,91;
2,?,1;
2,[,1;
2,],21;
2,a,46;
2,b,31;
2,c,17;
2,d,63;
2,e,34;
2,f,38;
2,g,28;
2,h,22;
2,i,19;
2,j,12;
2,k,11;
2,l,10;
2,m,34;
2,n,38;
2,o,14;
2,p,10;
2,q,1;
2,r,19;
2,s,46;
2,t,31;
2,u,7;
